Nombre,Hu0,Hu2,Hu4,Hu6,Mean_B,Mean_G,Mean_R
berenjena,0.6847272361049727,3.210425411225512,7.467009663793865,-8.132375053905678,31.925798041083787,21.961244999173754,20.425628711730035
camote,0.7182993525861141,3.117836378955306,8.401147216089461,7.655303125410095,26.842335630471222,23.20022350530825,38.46978021978022
papa,0.6105011302086938,3.149611129832066,7.20358600770952,-7.503152458644669,24.78420253616717,20.41797642436149,29.36698517592427
zanahoria,0.5348102424451282,2.603659274324762,5.636257138653718,-7.423082807205675,20.751561579257515,22.498566097033983,24.994971518365745
berenjena,0.5783645058160058,2.804578996403397,6.195296170178864,-7.1384341955461625,27.892590933159546,28.561565720337256,32.077960164555414
camote,0.6960298729696994,2.996714345866637,7.117524493591124,8.025147831193891,23.25909946658299,24.020552243489174,27.064402259177907
papa,0.5720542820204187,2.843785198752035,6.394964944173554,6.814921248772584,27.465765555814492,24.426520624563036,39.81127942204614
zanahoria,0.6249210435488903,2.9068155282099966,6.5719611783189915,-7.3770857739565425,27.08589031656601,27.94491508248551,30.35754529609663
berenjena,0.7181745063781505,3.121666013108995,8.858254401571878,7.696935164781636,28.02009416104451,24.432752511770133,38.50900354317333
camote,0.6948283513521765,3.3402534816599596,8.140695558956637,-8.059121173281408,20.702883213664837,23.12213919732844,35.29247878473704
papa,0.5708434423032049,3.382636349896158,8.351566499120134,8.043143673759166,16.12273975037416,13.25834768369456,68.56386244894288
zanahoria,0.39550806748096645,2.607392103488507,5.847117284089362,-6.3600686920443055,16.181924389338196,16.369995563079286,72.73296121365209
berenjena,0.6009162391444134,3.449744352248367,-8.836417099188985,8.502009044627764,14.07966556869008,8.520487482591605,70.89164349508287
camote,0.5628591923365076,2.97730587102811,-7.806667449278782,-7.507736104147075,15.291900812260975,10.691164717514477,71.15088422554501
papa,0.49966575999424157,3.662628945901537,7.666556615566339,9.202411333547005,24.511875283367626,28.226449970355386,88.72674641648938
zanahoria,0.4691107753697973,2.6250612063425343,5.806011458329533,6.427807760843675,24.888085669114496,23.315385865630404,65.9880926875397
berenjena,0.4804041889738622,2.6614184122597266,5.887526749938088,6.504094500192078,26.07413328760629,25.50354888926995,67.25274950658503
camote,0.5982351808758486,3.4324861971635636,-8.721365035385725,8.507138365510189,30.429196312757515,21.981977481687775,71.79878609987792
papa,0.601184302133121,3.440522069474071,-8.859443045851936,8.45942809539039,10.48734483635617,15.365184970690885,87.04789274672207
zanahoria,0.5997672812694299,3.3837749662176906,-8.936480045512607,8.288316463823817,29.826395155715986,21.490512557121463,69.78151280672785
berenjena,0.6001352057974756,3.314807563508289,8.927482705035034,8.04777253058194,31.121905188696267,21.96554202807887,70.70041835593037
camote,0.5690717823248578,3.416769449663939,8.439824629277904,8.110832400522291,33.82042488344373,25.810803144378895,72.90766480076044
papa,0.5702920229185688,3.4147080315024705,8.474412019690504,8.114490906840407,33.15052076414644,24.98134870912962,70.91133546114823
zanahoria,0.6508749867074913,3.6329212888553344,9.843806348368545,8.760706850970063,30.80291973412501,70.75337205910112,101.99793000188767
berenjena,0.6508397201843429,3.6380243133847863,9.838966165485761,8.769250607988747,32.032839283751166,72.71314933227009,100.49136684863312
camote,0.6566068715030744,3.624691588061777,9.516794546304682,8.740205533613794,32.45405261645648,77.28099747579687,107.5653300817101
papa,0.7743395921304221,4.512126134230883,11.26022895756576,-11.404596705157243,41.73301524136998,89.20188537098925,111.3724573570035
zanahoria,0.7243400075959027,4.637955290446917,-11.601107183615577,-11.132467688460416,20.88274368231047,85.6115523465704,126.90616606498196
berenjena,0.6443637654781202,3.897253419207293,9.39725835344388,9.194282077572959,18.31738577979117,69.67465885862659,106.63897022263963
camote,0.6817321351056612,4.04396335022761,-9.88617281889698,-10.297456796038617,9.061568750279655,53.04787686249944,84.96854445389056
papa,0.6912883178204501,4.247764981530555,-10.778691897744768,-10.250663768441328,36.18671954851656,75.53115907133581,98.4226994411155
zanahoria,0.6955314954216277,4.1640167799424015,10.375867014751263,-9.91895736588539,26.906512713930155,54.45138121263439,81.25570625817873
berenjena,0.5196668498724039,3.1578880451623106,6.905386500325922,-8.031426471229878,1.3114005557083384,44.485119470970716,127.36024630713158
camote,0.47912009913859804,2.821694597466856,6.046892924884805,-8.014750027871337,0.4679126089256903,47.72771428518013,127.15539005726487
papa,0.47987393477555873,2.824921749087436,6.055068221990957,-7.982374955462674,0.5112778945075365,48.40718556742299,127.22208640815653
zanahoria,0.504710362820504,3.39237540903246,7.34092355333143,-8.402521071339114,1.571748345589473,47.61084718834362,120.78153365931598
berenjena,0.5033165318224186,3.4205119404922177,7.389446209923414,-8.485335565299941,0.5915899168521115,48.436551681818095,128.17358633248688
camote,0.6209009683872249,2.634680698234284,6.227713771971697,-6.763633316914757,3.752815275932014,60.95565503252431,150.27124571588448
papa,0.4991802720116721,3.549347401537458,7.622999267694288,-9.144411350322713,5.164290688252821,68.60748336124794,165.3063782530022
zanahoria,0.49594437919591544,3.486768251616183,7.506261184113873,-9.755510589620402,4.6736535303053,66.44988291567871,163.30507443742232
