MFCC_seg1_coef1,MFCC_seg1_coef2,MFCC_seg1_coef3,MFCC_seg2_coef1,MFCC_seg2_coef2,MFCC_seg2_coef3,MFCC_seg3_coef1,MFCC_seg3_coef2,MFCC_seg3_coef3,MFCC_seg4_coef1,MFCC_seg4_coef2,MFCC_seg4_coef3,MFCC_seg5_coef1,MFCC_seg5_coef2,MFCC_seg5_coef3,Formante_1,Formante_2,Formante_3,Etiqueta
-320.50152133836843,74.36605942642419,-19.460523439463664,-212.73903125161368,90.95119038775208,-28.91029604405328,-86.38693393784543,68.18801125319094,-51.68298640939158,-123.99916025640967,60.42020939725379,-37.4743321974267,-119.7975062094898,8.357633858964935,-20.917566723943846,448.1349318788774,1893.6711193224062,3001.5583355941653,berenjena
-333.1837818623694,59.87582314026538,-29.465450668229217,-130.55696773046793,64.63585395304924,-46.43931613736545,-138.5184158375947,50.62647983076544,-35.94973578889874,-129.4407335700846,36.685168239329684,-18.728818000620276,-87.7467125471886,27.969225612252313,-27.422014042468952,398.17570651626113,2041.155747247714,3084.469242572281,berenjena
-354.5160476080242,77.3569238425413,-16.2608287162868,-254.81968965511163,88.94726153684233,-14.174489434981473,-110.61837290818012,52.33599451262988,-42.36445315775593,-153.61284587406033,60.70726906408381,-33.91931995935114,-163.139547601187,81.51710812788234,-26.799604228514482,357.81101597407184,1954.1469279253195,2479.2894224101706,berenjena
-307.7968366960443,69.47136477101876,-31.211510152212533,-194.26375461436098,56.83147889141242,-24.648899793786498,-144.01747717664182,50.65679108102917,-34.01823552909234,-138.72801803666644,36.67149670995539,-36.08217521935274,-70.395222326318,18.986962374514217,-40.770654446031884,366.27682366044127,2336.219316092269,3039.9192478060068,berenjena
-337.76260602926845,94.9939488202884,-18.437664927512387,-189.15393618148138,127.02440369838352,-0.2711209858355687,-81.26466682978507,87.06557388953803,-26.282597634656252,-145.75845596944563,37.63643493064338,-20.899205758158196,-175.5225511667573,7.701581982217357,-11.472575135583444,0.0,591.9655962467922,3161.28990579769,berenjena
-593.1411351528534,67.64176155601187,9.765503748339862,-177.3991261440279,85.04821866132815,-33.555759456061935,-88.12125706434257,87.00371615397084,-38.6808953769392,-168.45268919199071,37.71785864080506,-28.75114957458326,-184.6043659431647,-15.38607024783615,-9.227106284775479,577.1912660195978,2569.834984213403,3194.2737099173723,berenjena
-433.2416405345413,82.56162888649865,-16.52211216751493,-152.02669826105554,56.636326093919,-37.23453589672637,-97.38228674510006,56.93341283423247,-41.88671195685305,-154.27275729552485,38.39087569705196,-26.18094617979437,-175.36682858865936,-0.5376965397776843,0.5436758173520921,595.5602066823058,2211.8482661998373,3339.811119176391,berenjena
-522.3764189131381,77.36316769376967,9.074268632067017,-215.8053380925257,87.84883164110913,-21.701011652997607,-123.3954090184239,47.308400971294695,-29.760553537350695,-161.9724543468892,50.11406973891351,-31.192322414094587,-220.4487009990798,53.82063923775284,-10.660341419921192,579.9889173114403,2501.8998833775845,2504.7537387334833,berenjena
-461.96820149787465,83.67150431650941,-2.349585425858264,-124.53843836778215,60.60106065130991,-41.76604983639673,-140.41866474498667,43.90137070105048,-38.584239812742496,-155.69353302434416,37.88733084344759,-37.71207815828309,-264.9558417649623,71.27199519440357,-27.907192409057565,618.8110653743731,2262.434023492635,3129.4479987128357,berenjena
-347.29386953242386,95.67371026537978,-7.8350806122749646,-156.22796409131297,85.47574497260624,-24.073472633567214,-88.57882882232077,72.87916034713263,-35.65188484175262,-167.56766634178064,57.105158213125094,-16.34578258380575,-164.15883655924296,20.775253265833236,-9.366244706023059,0.0,613.4175041068298,2191.836675340445,berenjena
-353.1934814328796,50.537575034376516,-41.92880290794106,-228.5077770240996,72.23237431215901,-46.01113189574907,-102.97254264854094,50.22414174328749,-71.35166732675036,-185.93675300819706,49.08190117578084,-50.150620832977175,-148.70031200984164,18.65988021967467,-60.44453139946107,385.5470980158256,2031.722295144694,2982.9228484415567,berenjena
-456.5693817678254,-31.58329413555959,-31.65463628233734,-108.32298980663829,0.24282263808272903,-39.27012267302932,-76.70601584656342,26.512023096649283,-55.57505196794746,-128.67994583340453,-14.13263252053232,-35.75012148244669,-157.17588336071452,-1.7358329642062358,-21.535481312588267,500.12891005968225,2148.2320096104218,2960.181216126071,berenjena
