Cluster,Hu2,Hu3,Mean_B,Mean_G,Mean_R
0,1.3816622810500294,3.478831710634709,70.25653448715117,49.86457504715559,141.04345290586892
1,1.900250627666901,4.048359440258796,64.97956010922142,134.7042594625365,180.51145989665181
2,1.5948993909572304,3.0507134378449954,52.30091092879805,47.03949887211588,47.90190104246927
3,1.0192012737922593,2.7681393879225613,31.339657366704913,91.90709136550272,207.28313894235833
