Nombre,Hu2,Hu4,Hu6,Mean_B,Mean_G,Mean_R
Imagen,0.8952351195328566,2.9550945559307262,3.6181490217163965,7.4779405241519905,43.257702578594134,86.77771953373366,159.31819851642527
Imagen,1.640357357623865,3.39423565330178,5.031404946548564,-8.119413135655009,75.45902600207505,71.46349695339183,96.72311676743321
Imagen,2.484661226812919,4.395478434335661,-7.403993489937476,-11.16657009592735,61.37218072468883,93.77000037596402,115.42025075586959
Imagen,1.1029432191013067,2.716093196765551,4.390630536647846,-6.611488109305642,130.24982615644882,125.193552739463,136.2664788118442
Imagen,1.7942598710251232,3.0392528163648254,4.450680903370314,7.506332371821077,76.87261500481166,74.03565902356695,73.80824390058412
Imagen,1.5954933696836366,3.0657695696336025,4.431972424218348,8.877995202679406,45.91688296640646,45.25083279422982,43.29514929729284
Imagen,1.0792336677640804,2.532765166858799,3.361759108541179,-6.9213902453585305,57.177225369617666,73.46357821452254,132.8181046280608
Imagen,0.831489932911887,2.1113432009262314,2.7656766665603683,-5.635192861199658,43.030259070703856,112.85517427252415,187.9195339484591
Imagen,0.20323582007498622,-0.4398980677995899,-0.3921871131851048,-1.010684540386677,84.56811375347591,103.38233462837695,111.43844222875222
Imagen,1.7764706829978596,3.217881613725169,4.796360221247365,-8.120861582620346,33.58743051266214,29.246902987955526,27.560133570105002
Imagen,1.6311591720084668,2.974175610235079,4.31928353230501,8.084163416070792,24.16409958269985,22.427704679242556,23.67797005041167
Imagen,1.3689859959222996,3.205395981599557,5.1863410245013455,7.652084589786953,54.356333874755144,38.756062859680505,90.00756773856018
Imagen,1.4421801716154683,3.3082467125592157,-5.428023950221165,8.094528756679647,36.888676426005844,27.319313072288505,80.32220732038738
Imagen,1.4182221331154155,3.2055048421875205,-5.376639731992028,7.843943778978264,52.32742131861446,38.430599745766045,90.8149304208435
Imagen,1.6883224232994731,3.0933152867495326,4.536213812628585,8.296475412838145,20.197639627528588,19.0507329573527,20.802646416140743
Imagen,1.298177604576055,3.8551867941846916,-6.1085552982178895,-9.058332665643485,47.402183577693734,30.123785466413075,80.72408303455144
Imagen,1.136194335996239,2.8009622089325457,3.6682477524400996,-7.633130521032243,11.515029648329714,53.2054010904828,120.2999414798219
Imagen,1.08880193158452,2.8262126420471585,3.6420026930906206,-8.110921374444905,10.265394775300923,54.61825117075151,128.13198911849352
Imagen,0.9703774148969844,2.220446886178495,2.9597930083639024,-5.935676984425648,36.79538221798653,82.0148575059165,151.96449161351686
Imagen,1.8860814605260563,4.149563332672737,5.9526009624819185,-10.05242145651863,79.43696968085253,104.62962827109425,127.24178472424093
Imagen,1.869416711642907,3.4963751119579585,5.6835106676654465,8.521333284624019,103.14552835242421,156.85653836896415,191.0410698195418
Imagen,2.05158999261726,4.3371227849995035,-6.753132584570523,-11.067939152357942,70.82041758186027,121.86063135981567,153.41227122172458
Imagen,-1.8846148321393348,-1.8014309533165653,1.7728372572055626,-1.8312977419981902,97.18443804034582,113.82478649349282,128.37191583435316
